filename,n_nodes,mst_cost,mst_time_s,christofides_cost,christofides_time_s,total_time_s
0,55,869.253965026638,0.003876,870.9825935382406,0.006468,0.010344
1,37,582.6517712266402,0.001697,632.0950398019322,0.002103,0.003800
2,98,1128.888801948192,0.011897,1145.3309276998045,0.032631,0.044529
3,83,940.1413654712499,0.008510,1077.704253349926,0.020338,0.028848
4,92,1094.2637363825538,0.010599,1069.3089430945251,0.027268,0.037867
5,42,700.9653971176351,0.002222,799.4901714270616,0.003035,0.005257
6,43,785.2923170064605,0.002259,768.3645482059068,0.003189,0.005448
7,65,860.1294855474607,0.005257,879.9651497928447,0.010049,0.015306
8,73,981.310800128532,0.006632,973.4873200558033,0.014083,0.020716
9,44,684.3723828231014,0.002369,685.3287750090035,0.003372,0.005742
10,36,684.4969151459262,0.001585,738.3993593111321,0.001985,0.003571
11,31,562.6796432317934,0.001178,596.6862724038976,0.001287,0.002465
12,94,1004.9480252171412,0.011020,1002.566613167715,0.029565,0.040586
13,92,963.9786863666606,0.010545,1000.6791109598113,0.027689,0.038234
14,63,898.6951291725379,0.004934,962.230935652226,0.009295,0.014229
15,66,919.5455972854245,0.005401,836.7940534496352,0.011075,0.016477
16,58,822.0963402307344,0.004271,785.2456127273906,0.007619,0.011891
17,34,636.8390210071591,0.001538,690.5519314999173,0.001697,0.003235
18,82,1004.0434296367404,0.008754,944.9061022292047,0.020651,0.029405
19,71,870.165939279136,0.006462,895.2035046389769,0.013609,0.020072
20,20,592.4526601473,0.000566,537.9716073101933,0.000479,0.001045
21,82,983.9157248794285,0.008702,1079.4135564534176,0.020583,0.029285
22,41,705.9306817796379,0.002117,722.8520452898166,0.002928,0.005045
23,79,949.6368733520101,0.007999,937.4399085226494,0.018452,0.026451
24,52,731.3696857421286,0.003635,740.2984591545734,0.005570,0.009205
25,87,930.988397748052,0.009747,958.6238763420754,0.024611,0.034358
26,73,949.8725402747804,0.006814,932.7782365332205,0.014678,0.021492
27,41,639.3746003919459,0.002121,699.4874971473756,0.002834,0.004955
28,32,654.0613677462165,0.001329,697.7074755091066,0.001546,0.002874
29,28,512.3961467053581,0.000972,504.76986610048914,0.000984,0.001957
30,55,784.1519660534808,0.003913,833.5745927532477,0.006540,0.010453
31,97,1025.3079366267664,0.012269,1027.1311653676314,0.033775,0.046045
32,45,835.1287009487138,0.002697,881.8267170312423,0.003752,0.006449
33,79,980.5414717896317,0.008217,1086.9951064365414,0.018597,0.026814
34,76,965.2501755091431,0.007511,1026.462051137514,0.016700,0.024211
35,42,725.6719110142433,0.002205,740.6780781915926,0.003119,0.005325
36,41,770.8386357088388,0.002198,821.3439300229226,0.002778,0.004977
37,28,613.1144609897823,0.001032,594.0746492167175,0.001075,0.002107
38,86,971.4351789283435,0.009651,1144.0668715485156,0.023758,0.033410
39,79,914.0287058415643,0.008131,915.4870877166892,0.018413,0.026544
40,45,679.8862773018385,0.002512,836.1496822106833,0.003638,0.006151
41,56,804.4084741464044,0.003874,802.4750753734371,0.006653,0.010526
42,62,780.5663057664665,0.004773,690.649738640912,0.008886,0.013660
43,89,934.2625747491851,0.009945,898.3101521264341,0.025039,0.034984
44,20,430.0609899075541,0.000506,403.17208483879114,0.000466,0.000972
45,34,688.6629074486972,0.001428,691.7216972190275,0.001724,0.003151
46,59,850.8953617728118,0.004299,858.9021501731538,0.007967,0.012266
47,56,795.9570885951442,0.004138,819.5293889120903,0.006841,0.010980
48,27,604.4636660916277,0.000909,651.5177841006292,0.000911,0.001819
49,99,1061.781840236354,0.012928,1271.710226675826,0.035916,0.048845
50,42,654.7151102855455,0.002306,565.5051134540502,0.003099,0.005406
51,61,879.1343942854025,0.004760,822.7639828615581,0.008916,0.013676
52,88,974.5690890537339,0.010336,1011.213592345037,0.025317,0.035653
53,51,790.4607334950374,0.003388,856.7194694344984,0.005407,0.008795
54,21,516.2171697887605,0.000579,630.0823071472415,0.000495,0.001075
55,34,629.2235827634703,0.001532,525.7020948591397,0.001673,0.003205
56,100,1065.193229214934,0.013125,1141.7873160944443,0.036784,0.049909
